update,global_step,sps,mean_episodic_reward
1,10240,2932,66.0
2,20480,3227,72.5
3,30720,3348,69.2
4,40960,3402,59.6
5,51200,3435,52.90909090909091
6,61440,3450,71.5
7,71680,3474,74.4
8,81920,3491,73.6
9,92160,3505,80.27272727272727
10,102400,3514,66.9
11,112640,3523,74.0
12,122880,3530,86.0
13,133120,3538,69.18181818181819
14,143360,3537,76.0
15,153600,3531,85.7
16,163840,3536,71.8
17,174080,3539,67.72727272727273
18,184320,3542,90.6
19,194560,3547,90.5
20,204800,3549,85.2
21,215040,3554,78.36363636363636
22,225280,3559,91.0
23,235520,3562,78.7
24,245760,3565,90.1
25,256000,3567,85.45454545454545
26,266240,3569,93.8
27,276480,3572,86.3
28,286720,3575,82.1
29,296960,3578,101.2
30,307200,3580,88.81818181818181
31,317440,3582,99.0
32,327680,3585,86.5
33,337920,3587,82.4
34,348160,3590,79.9090909090909
35,358400,3591,102.7
36,368640,3593,96.2
37,378880,3595,88.0
38,389120,3594,92.81818181818181
39,399360,3596,106.6
40,409600,3596,75.0
41,419840,3598,99.7
42,430080,3600,84.54545454545455
43,440320,3602,100.2
44,450560,3603,90.5
45,460800,3604,91.2
46,471040,3606,90.0909090909091
47,481280,3607,92.8
48,491520,3608,94.5
49,501760,3610,97.7
50,512000,3610,86.18181818181819
51,522240,3612,109.2
52,532480,3616,102.3
53,542720,3619,90.7
54,552960,3618,99.6
55,563200,3619,94.54545454545455
56,573440,3619,106.0
57,583680,3620,106.8
58,593920,3619,108.1
59,604160,3619,86.72727272727273
60,614400,3618,103.9
61,624640,3619,95.2
62,634880,3618,95.7
63,645120,3619,100.63636363636364
64,655360,3620,102.2
65,665600,3621,90.9
66,675840,3622,103.7
67,686080,3623,89.27272727272727
68,696320,3626,109.4
69,706560,3629,94.6
70,716800,3632,88.1
71,727040,3634,98.27272727272727
72,737280,3638,110.9
73,747520,3641,108.2
74,757760,3643,103.3
75,768000,3646,96.9090909090909
76,778240,3648,108.0
77,788480,3650,103.5
78,798720,3653,98.1
79,808960,3656,111.3
80,819200,3658,104.0
81,829440,3661,106.3
82,839680,3663,98.9
83,849920,3665,99.2
84,860160,3667,106.81818181818181
85,870400,3670,109.7
86,880640,3672,112.5
87,890880,3674,105.1
88,901120,3676,104.18181818181819
89,911360,3677,104.0
90,921600,3678,107.9
91,931840,3678,114.6
92,942080,3678,103.81818181818181
93,952320,3678,110.7
94,962560,3679,110.5
95,972800,3679,112.6
96,983040,3680,105.81818181818181
97,993280,3680,111.6
98,1003520,3680,108.6
99,1013760,3681,108.5
100,1024000,3681,98.45454545454545
101,1034240,3681,117.5
102,1044480,3681,113.2
103,1054720,3682,110.4
104,1064960,3682,108.8
105,1075200,3682,116.36363636363636
106,1085440,3682,109.9
107,1095680,3682,103.1
108,1105920,3682,109.8
109,1116160,3682,103.45454545454545
110,1126400,3682,118.2
111,1136640,3683,109.4
112,1146880,3684,114.3
113,1157120,3685,108.9090909090909
114,1167360,3686,105.5
115,1177600,3687,108.4
116,1187840,3688,114.2
117,1198080,3689,109.27272727272727
118,1208320,3690,104.0
119,1218560,3691,112.0
120,1228800,3692,111.0
121,1239040,3691,106.27272727272727
122,1249280,3691,124.3
123,1259520,3690,116.1
124,1269760,3690,105.7
125,1280000,3689,96.45454545454545
126,1290240,3688,117.5
127,1300480,3688,113.7
128,1310720,3687,113.5
129,1320960,3687,111.7
130,1331200,3686,105.9090909090909
131,1341440,3686,108.1
132,1351680,3685,113.5
133,1361920,3685,105.2
134,1372160,3685,108.45454545454545
135,1382400,3685,103.8
136,1392640,3685,104.3
137,1402880,3684,102.6
138,1413120,3683,111.36363636363636
139,1423360,3684,103.0
140,1433600,3684,105.5
141,1443840,3684,107.9
142,1454080,3683,111.45454545454545
143,1464320,3683,114.1
144,1474560,3683,112.4
145,1484800,3683,104.8
146,1495040,3683,100.36363636363636
147,1505280,3683,111.4
148,1515520,3684,115.3
149,1525760,3684,108.8
150,1536000,3685,101.81818181818181
151,1546240,3686,127.1
152,1556480,3687,107.1
153,1566720,3688,96.8
154,1576960,3689,109.3
155,1587200,3690,102.63636363636364
156,1597440,3691,103.6
157,1607680,3692,105.4
158,1617920,3693,109.8
159,1628160,3693,97.0909090909091
160,1638400,3693,97.9
161,1648640,3693,106.4
162,1658880,3693,109.0
163,1669120,3693,113.54545454545455
164,1679360,3694,105.6
165,1689600,3694,105.7
166,1699840,3695,117.9
167,1710080,3695,105.27272727272727
168,1720320,3695,108.6
169,1730560,3696,108.0
170,1740800,3696,105.2
171,1751040,3695,101.0
172,1761280,3696,112.4
173,1771520,3696,115.4
174,1781760,3696,114.9
175,1792000,3696,97.63636363636364
176,1802240,3696,119.2
177,1812480,3696,108.3
178,1822720,3696,110.8
179,1832960,3696,114.6
180,1843200,3696,107.45454545454545
181,1853440,3696,106.8
182,1863680,3694,107.2
183,1873920,3693,105.3
184,1884160,3691,111.72727272727273
185,1894400,3691,113.2
186,1904640,3691,106.8
187,1914880,3691,114.8
188,1925120,3690,108.0
189,1935360,3691,108.7
190,1945600,3689,106.7
191,1955840,3688,114.1
192,1966080,3688,108.63636363636364
193,1976320,3688,99.6
194,1986560,3688,105.1
195,1996800,3688,113.6
