update,global_step,sps,mean_episodic_reward,policy_loss,value_loss,entropy_loss
1,2048,629,56.7,-0.5530654191970825,7.6695356369018555,1.1022870540618896
2,4096,720,55.5,-0.6024655699729919,8.752754211425781,1.3428021669387817
3,6144,758,55.2,-0.04274381324648857,2.931187152862549,1.4325991868972778
4,8192,778,59.3,0.0739138200879097,2.5703959465026855,1.4862931966781616
5,10240,791,61.27272727272727,0.3107776641845703,1.9419264793395996,1.6090080738067627
6,12288,799,56.5,0.37950003147125244,1.1365554332733154,1.5769832134246826
7,14336,805,56.5,-0.0864587277173996,0.86221843957901,1.6566423177719116
8,16384,809,52.9,0.13829968869686127,1.552017331123352,1.643272876739502
9,18432,813,52.09090909090909,0.17679725587368011,1.1233150959014893,1.4956713914871216
10,20480,816,62.0,-0.043883927166461945,1.2607789039611816,1.4727201461791992
11,22528,820,55.3,0.25527632236480713,0.6647909879684448,1.5436034202575684
12,24576,824,60.4,0.057707276195287704,1.342408299446106,1.3861770629882812
13,26624,827,53.54545454545455,0.21092304587364197,0.7508676052093506,1.650560736656189
14,28672,829,55.3,-0.10550404340028763,0.5978033542633057,1.768302321434021
15,30720,832,55.2,0.17675164341926575,1.1489031314849854,1.8317394256591797
16,32768,834,57.8,-0.15450438857078552,0.6713272929191589,1.7496905326843262
17,34816,835,54.72727272727273,-0.21717262268066406,0.9374915361404419,1.698952078819275
18,36864,837,56.0,-0.12811154127120972,0.9655517935752869,1.7721608877182007
19,38912,838,52.5,-0.17816504836082458,0.8314527273178101,1.7115591764450073
20,40960,839,51.8,-0.12892673909664154,1.0474731922149658,1.6716814041137695
21,43008,840,51.0,-0.19909846782684326,0.665662407875061,1.5306174755096436
22,45056,841,53.7,-0.1397058367729187,0.8591194152832031,1.5887033939361572
23,47104,842,54.3,-0.20620140433311462,0.7691851258277893,1.5921354293823242
24,49152,843,56.6,-0.26284360885620117,0.6153631806373596,1.5192893743515015
25,51200,844,58.2,-0.38139885663986206,1.6434571743011475,1.257908582687378
26,53248,844,54.72727272727273,-0.18857385218143463,0.9352211952209473,1.0864338874816895
27,55296,845,58.6,-0.14693090319633484,0.8978942632675171,0.9765784740447998
28,57344,845,55.4,-0.29521602392196655,0.6212989091873169,0.9462274312973022
29,59392,844,53.1,-0.12520228326320648,0.43056732416152954,1.0069421529769897
30,61440,844,54.72727272727273,-0.18624567985534668,0.8168379664421082,0.9825276732444763
31,63488,844,59.6,-0.33958035707473755,0.876171350479126,0.9846936464309692
32,65536,844,58.8,-0.2471654713153839,0.7145037651062012,1.0473260879516602
33,67584,844,54.0,0.06263527274131775,0.46527183055877686,0.9874066710472107
34,69632,844,53.36363636363637,-0.29648125171661377,0.8029285669326782,1.1106905937194824
35,71680,844,56.4,-0.11007843911647797,0.7407829761505127,1.129119873046875
36,73728,843,50.9,-0.011762164533138275,0.28325968980789185,1.4254481792449951
37,75776,843,55.1,0.029730256646871567,0.5157856941223145,1.5656449794769287
38,77824,843,56.27272727272727,-0.013456704095005989,0.5231110453605652,1.8584809303283691
39,79872,843,49.9,0.002863265573978424,0.6130545139312744,1.8303124904632568
40,81920,842,52.3,0.1517605185508728,0.30415549874305725,1.9602411985397339
41,83968,842,59.6,-0.003231450915336609,0.5417949557304382,1.9898537397384644
42,86016,842,51.36363636363637,-0.014827976003289223,0.4305362105369568,1.9533767700195312
43,88064,842,51.8,0.09034357964992523,0.3136450946331024,1.9745005369186401
44,90112,842,56.2,-0.0646456778049469,0.7231497764587402,1.9705215692520142
45,92160,841,50.0,0.14206767082214355,0.42323458194732666,1.7844754457473755
46,94208,841,51.09090909090909,-0.14000648260116577,0.5840452313423157,1.7891560792922974
47,96256,841,47.3,0.1752845048904419,1.224440336227417,1.7550854682922363
48,98304,840,52.2,-0.1535637527704239,0.690372109413147,1.7497398853302002
49,100352,840,55.6,-0.04972406104207039,0.9971444606781006,1.7231067419052124
50,102400,840,55.9,-0.38201412558555603,4.169663429260254,1.5267258882522583
51,104448,840,52.90909090909091,-0.08654935657978058,0.8314405679702759,1.5866193771362305
52,106496,840,56.7,-0.2490825355052948,0.5562217235565186,1.6148711442947388
53,108544,840,53.1,-0.15126141905784607,0.5733249187469482,1.5574276447296143
54,110592,840,57.0,-0.1685948669910431,0.34853407740592957,1.4768701791763306
55,112640,840,53.54545454545455,-0.04348032921552658,0.4179550111293793,1.389382004737854
56,114688,840,52.7,-0.06385357677936554,0.32265588641166687,1.4121699333190918
57,116736,839,56.1,-0.32269150018692017,0.6262047290802002,1.2287908792495728
58,118784,839,58.3,-0.2609284520149231,0.9304197430610657,1.0986902713775635
59,120832,839,54.72727272727273,0.04305608570575714,0.570950448513031,1.1525051593780518
60,122880,839,56.8,-0.06118125841021538,0.29388856887817383,1.1388683319091797
61,124928,839,53.7,0.20489299297332764,0.5124822854995728,1.2444570064544678
62,126976,839,52.2,-0.1248086541891098,0.4065830409526825,1.4896082878112793
63,129024,840,52.63636363636363,-0.10759463906288147,0.6807620525360107,1.6836073398590088
64,131072,840,55.4,0.10566434264183044,0.20704835653305054,1.784290075302124
65,133120,840,57.9,0.02760661207139492,0.40551120042800903,1.823534607887268
66,135168,840,58.5,-0.08613106608390808,0.32360997796058655,1.8039524555206299
67,137216,840,56.81818181818182,0.22001267969608307,0.470883309841156,1.8779304027557373
68,139264,841,55.3,0.154645174741745,0.36286890506744385,1.990802526473999
69,141312,841,54.7,0.1885962337255478,0.3369289040565491,1.9984298944473267
70,143360,841,51.2,0.028397884219884872,0.3975445330142975,2.0158212184906006
71,145408,841,51.0,-0.04543968290090561,0.5062927007675171,2.109231948852539
72,147456,841,53.0,0.14953045547008514,0.3939940929412842,2.1080164909362793
73,149504,841,53.7,-0.018336908891797066,0.2944369912147522,2.1050357818603516
74,151552,842,52.8,0.1819351464509964,0.4060167670249939,2.0845630168914795
75,153600,842,53.1,-0.03679807484149933,3.02764892578125,1.9782326221466064
76,155648,842,55.72727272727273,0.05817722529172897,0.15733174979686737,2.00950288772583
