update,global_step,sps,mean_episodic_reward
1,5120,694,131.8
2,10240,702,113.8
3,15360,715,99.4
4,20480,725,107.2
5,25600,731,100.4
6,30720,735,115.0
7,35840,738,107.0
8,40960,740,112.8
9,46080,742,111.0
10,51200,743,115.8
11,56320,745,112.6
12,61440,747,105.2
13,66560,747,111.0
14,71680,748,105.8
15,76800,748,112.4
16,81920,748,115.4
17,87040,748,99.5
18,92160,748,113.2
19,97280,748,103.0
20,102400,748,106.0
21,107520,748,114.6
22,112640,749,116.2
23,117760,749,115.6
24,122880,749,113.6
25,128000,749,95.0
26,133120,749,131.8
27,138240,749,102.6
28,143360,749,111.0
29,148480,749,112.6
30,153600,749,117.2
31,158720,748,108.2
32,163840,748,108.0
33,168960,748,110.6
34,174080,748,99.66666666666667
35,179200,748,112.6
36,184320,746,105.0
37,189440,745,107.0
38,194560,745,106.6
39,199680,745,95.0
40,204800,745,115.6
41,209920,745,111.8
42,215040,745,96.66666666666667
43,220160,745,124.8
44,225280,745,104.2
45,230400,745,113.4
46,235520,746,105.6
47,240640,746,100.8
48,245760,746,106.8
49,250880,747,111.2
50,256000,747,91.5
51,261120,747,114.6
52,266240,748,105.4
53,271360,747,108.4
54,276480,748,106.2
55,281600,748,109.4
56,286720,749,118.6
57,291840,749,115.2
58,296960,750,100.2
59,302080,750,111.5
60,307200,750,102.8
61,312320,750,107.4
62,317440,750,112.6
63,322560,750,103.4
64,327680,750,112.2
65,332800,751,104.6
66,337920,751,114.6
67,343040,751,102.0
68,348160,751,109.0
69,353280,751,100.4
70,358400,751,118.2
71,363520,751,124.0
72,368640,751,106.6
73,373760,751,106.2
74,378880,751,109.8
75,384000,751,97.16666666666667
76,389120,751,124.6
77,394240,751,100.6
78,399360,751,105.2
79,404480,751,108.4
80,409600,751,116.8
81,414720,751,107.2
82,419840,750,112.6
83,424960,750,102.6
84,430080,750,101.83333333333333
85,435200,750,111.4
86,440320,750,107.8
87,445440,749,108.6
88,450560,749,112.0
89,455680,749,108.4
90,460800,749,98.2
91,465920,749,108.0
92,471040,749,95.83333333333333
93,476160,748,131.0
94,481280,748,111.0
95,486400,748,108.0
96,491520,748,104.6
97,496640,749,107.8
98,501760,749,109.0
99,506880,748,111.0
100,512000,748,85.5
101,517120,749,123.4
102,522240,749,96.0
103,527360,749,100.8
104,532480,749,103.2
105,537600,749,113.0
106,542720,749,105.4
107,547840,749,111.6
108,552960,749,106.8
109,558080,749,107.0
110,563200,749,114.2
111,568320,749,107.2
112,573440,749,114.2
113,578560,749,98.6
114,583680,749,105.0
115,588800,750,101.8
116,593920,750,96.4
117,599040,750,98.16666666666667
118,604160,750,114.8
119,609280,750,111.4
120,614400,750,109.0
121,619520,750,101.6
122,624640,750,107.6
123,629760,750,108.8
124,634880,750,114.0
125,640000,750,93.83333333333333
126,645120,750,135.2
127,650240,750,120.6
128,655360,751,115.6
129,660480,751,117.4
130,665600,751,110.0
131,670720,751,121.6
132,675840,751,109.2
133,680960,751,115.6
134,686080,751,101.33333333333333
135,691200,751,119.2
136,696320,751,116.8
137,701440,751,104.2
138,706560,751,111.0
139,711680,751,105.2
140,716800,751,110.0
141,721920,751,107.4
142,727040,751,103.66666666666667
143,732160,751,115.0
144,737280,751,114.4
145,742400,751,113.0
146,747520,751,108.0
147,752640,751,110.4
148,757760,751,107.0
149,762880,751,101.6
150,768000,751,84.83333333333333
151,773120,751,131.4
152,778240,752,105.6
153,783360,752,118.4
154,788480,752,108.2
155,793600,752,118.8
156,798720,752,108.0
157,803840,752,109.0
158,808960,752,119.2
159,814080,752,102.33333333333333
160,819200,752,114.2
161,824320,752,109.4
162,829440,752,110.8
163,834560,752,117.4
164,839680,752,116.4
165,844800,752,105.0
166,849920,752,104.2
167,855040,752,111.66666666666667
168,860160,752,110.4
169,865280,752,117.2
170,870400,752,108.2
171,875520,752,107.4
172,880640,752,103.0
173,885760,752,117.6
174,890880,752,103.4
175,896000,752,85.33333333333333
176,901120,752,123.8
177,906240,752,105.0
178,911360,752,105.8
179,916480,752,106.0
180,921600,752,102.4
181,926720,752,97.2
182,931840,752,116.2
183,936960,752,119.4
184,942080,752,105.33333333333333
185,947200,752,105.6
186,952320,752,106.4
187,957440,752,118.2
188,962560,752,123.2
189,967680,752,102.0
190,972800,752,106.0
191,977920,752,113.0
192,983040,752,101.16666666666667
193,988160,752,116.4
194,993280,752,108.2
195,998400,752,103.6
196,1003520,752,98.2
197,1008640,752,110.6
198,1013760,752,119.8
199,1018880,752,110.8
200,1024000,752,84.66666666666667
201,1029120,752,133.4
202,1034240,752,103.0
203,1039360,752,115.8
204,1044480,752,100.6
205,1049600,752,105.4
206,1054720,752,111.0
207,1059840,752,107.2
208,1064960,752,106.4
209,1070080,752,114.0
210,1075200,752,107.2
211,1080320,752,102.4
212,1085440,752,100.8
213,1090560,752,101.8
214,1095680,752,104.4
215,1100800,752,108.0
216,1105920,752,98.2
217,1111040,752,95.33333333333333
218,1116160,752,117.0
219,1121280,753,108.4
220,1126400,753,110.0
221,1131520,753,113.2
222,1136640,753,111.6
223,1141760,753,110.6
224,1146880,753,111.6
225,1152000,753,85.0
226,1157120,753,136.8
227,1162240,753,105.4
228,1167360,753,117.4
229,1172480,753,113.0
230,1177600,753,95.6
231,1182720,753,108.2
232,1187840,753,106.6
233,1192960,753,103.4
234,1198080,753,95.33333333333333
235,1203200,753,122.6
236,1208320,753,111.8
237,1213440,753,108.2
238,1218560,753,97.0
239,1223680,753,101.8
240,1228800,753,106.0
241,1233920,753,107.0
242,1239040,753,91.5
243,1244160,753,99.6
244,1249280,753,118.4
245,1254400,753,110.4
246,1259520,753,110.2
247,1264640,753,112.6
248,1269760,753,112.8
249,1274880,754,105.4
250,1280000,754,89.0
251,1285120,754,137.2
252,1290240,754,113.2
253,1295360,754,116.4
254,1300480,754,101.8
255,1305600,754,105.4
256,1310720,754,117.2
257,1315840,754,108.4
258,1320960,754,105.2
259,1326080,754,100.16666666666667
260,1331200,754,113.0
261,1336320,754,115.6
262,1341440,754,101.6
263,1346560,754,101.4
264,1351680,754,109.6
265,1356800,754,109.0
266,1361920,754,103.6
267,1367040,754,95.5
268,1372160,754,125.0
269,1377280,754,108.0
270,1382400,754,109.2
271,1387520,754,103.6
272,1392640,754,103.4
273,1397760,754,118.8
274,1402880,754,109.6
275,1408000,754,92.66666666666667
276,1413120,754,120.6
277,1418240,754,105.8
278,1423360,754,111.6
279,1428480,754,97.6
280,1433600,754,106.8
281,1438720,754,114.8
282,1443840,754,113.0
283,1448960,754,107.2
284,1454080,754,110.5
285,1459200,754,111.0
286,1464320,754,115.8
287,1469440,754,112.8
288,1474560,754,113.0
289,1479680,754,107.6
290,1484800,754,107.4
291,1489920,754,122.6
292,1495040,754,112.0
293,1500160,754,109.8
294,1505280,754,109.4
295,1510400,754,109.2
296,1515520,754,104.4
297,1520640,754,97.2
298,1525760,754,119.2
299,1530880,754,105.4
300,1536000,754,84.33333333333333
301,1541120,754,119.2
302,1546240,754,110.8
303,1551360,754,115.4
304,1556480,754,104.0
305,1561600,754,110.6
306,1566720,754,124.2
307,1571840,754,121.2
308,1576960,754,107.6
309,1582080,753,105.5
310,1587200,753,103.8
311,1592320,753,112.6
312,1597440,753,117.6
313,1602560,753,107.4
314,1607680,753,114.8
315,1612800,753,116.2
316,1617920,753,108.4
317,1623040,753,110.5
318,1628160,753,113.2
319,1633280,753,120.8
320,1638400,753,111.6
321,1643520,753,100.8
322,1648640,753,101.2
323,1653760,753,104.0
324,1658880,753,101.6
325,1664000,753,94.16666666666667
326,1669120,753,125.8
327,1674240,753,107.0
328,1679360,753,114.2
329,1684480,753,101.4
330,1689600,753,106.4
331,1694720,753,98.4
332,1699840,753,99.4
333,1704960,753,110.2
334,1710080,753,102.0
335,1715200,753,106.2
336,1720320,753,109.8
337,1725440,753,105.8
338,1730560,753,105.0
339,1735680,753,111.0
340,1740800,753,102.2
341,1745920,753,109.0
342,1751040,753,105.5
343,1756160,753,112.0
344,1761280,753,111.4
345,1766400,753,110.8
346,1771520,753,108.4
347,1776640,753,109.6
348,1781760,753,108.2
349,1786880,753,105.6
350,1792000,753,86.83333333333333
351,1797120,753,127.4
352,1802240,753,121.4
353,1807360,753,106.4
354,1812480,753,104.2
355,1817600,753,100.6
356,1822720,753,106.2
357,1827840,753,120.4
358,1832960,753,104.2
359,1838080,753,107.5
360,1843200,753,114.6
361,1848320,753,117.4
362,1853440,753,114.4
363,1858560,753,113.8
364,1863680,753,115.8
365,1868800,753,103.2
366,1873920,753,113.2
367,1879040,753,109.0
368,1884160,753,122.8
369,1889280,753,110.2
370,1894400,753,117.6
371,1899520,753,109.6
372,1904640,753,112.0
373,1909760,753,103.8
374,1914880,753,108.8
375,1920000,753,89.0
376,1925120,753,129.0
377,1930240,753,114.0
378,1935360,753,99.2
379,1940480,753,111.4
380,1945600,753,107.0
381,1950720,753,114.6
382,1955840,753,99.6
383,1960960,753,119.4
384,1966080,753,106.5
385,1971200,753,108.4
386,1976320,753,108.2
387,1981440,753,100.4
388,1986560,753,109.8
389,1991680,753,113.6
390,1996800,753,123.6
